item_sku,brand_name,item_name,manufacturer,model_number,part_number,product_description,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,target_audience_keywords,main_image_url,other_image_url1,other_image_url2,other_image_url3,other_image_url4,swatch_image_url,parent_child,parent_sku,relationship_type,variation_theme,standard_price,list_price,quantity,fulfillment_center_id,item_condition,external_product_id,external_product_id_type,item_type_keyword,product_tax_code,color_name,color_map,size_name,size_map,material_type,style_name,included_components,special_features,item_package_quantity,number_of_items,country_of_origin,item_weight,item_weight_unit_of_measure,item_length,item_width,item_height,item_dimensions_unit_of_measure,department_name,recommended_browse_nodes,care_instructions,update_delete
PF-BTL-PARENT,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle - Vacuum Sealed, Leak-Proof, BPA-Free Sports Bottle",PeakFlow Outdoor Co.,PF-BTL,PF-BTL,"Stay hydrated wherever you go with the PeakFlow Insulated Water Bottle. Double-wall vacuum insulation keeps drinks ice-cold for up to 24 hours or hot for 12, so your water, coffee, or tea stays exactly how you want it from gym to trail to office. The 18/8 food-grade stainless steel body resists dents and rust, while the powder-coated exterior stays cool to the touch and sweat-free. The leak-proof lid twists on securely for worry-free tossing into a bag, and the wide mouth makes adding ice cubes or cleaning simple. Available in multiple sizes and colors so every member of the family can grab their own. Backed by PeakFlow's 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation locks in temperature all day long","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles","SWEAT-FREE, NO-CONDENSATION EXTERIOR: Powder-coated finish stays dry and comfortable to grip",BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,,Parent,,,SizeName-ColorName,,,,AMAZON_NA,New,,,water-bottle,A_GEN_TAX,,,,,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,,,,,,,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-20OZ-BLA,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 20 oz, Matte Black - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-20OZ,PF-BTL-20OZ-BLA,"The PeakFlow 20 oz Water Bottle in Matte Black keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 20 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR MATTE BLACK FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-20oz-black-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-black.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,24.99,29.99,150,AMAZON_NA,New,828982181628,UPC,water-bottle,A_GEN_TAX,Matte Black,Black,20 oz,20 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,0.9,Pounds,10.5,2.9,2.9,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-20OZ-BLU,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 20 oz, Ocean Blue - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-20OZ,PF-BTL-20OZ-BLU,"The PeakFlow 20 oz Water Bottle in Ocean Blue keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.",,,,,,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-20oz-blue-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-blue.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,24.99,29.99,150,AMAZON_NA,New,899315962379,UPC,water-bottle,A_GEN_TAX,Ocean Blue,Blue,20 oz,20 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,0.9,Pounds,10.5,2.9,2.9,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-20OZ-PIN,PeakFlow,PeakFlow Bottle Pink 20oz,PeakFlow Outdoor Co.,PF-BTL-20OZ,PF-BTL-20OZ-PIN,"The PeakFlow 20 oz Water Bottle in Blush Pink keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 20 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR BLUSH PINK FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-20oz-pink-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-pink.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,24.99,29.99,150,AMAZON_NA,New,865165324581,UPC,water-bottle,A_GEN_TAX,Blush Pink,Pink,20 oz,20 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,0.9,Pounds,10.5,2.9,2.9,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-32OZ-BLA,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 32 oz, Matte Black - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-32OZ,PF-BTL-32OZ-BLA,,"24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 32 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR MATTE BLACK FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-32oz-black-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-black.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,29.99,34.99,150,AMAZON_NA,New,851812874538,UPC,water-bottle,A_GEN_TAX,Matte Black,Black,32 oz,32 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,1.1,Pounds,11.8,3.4,3.4,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-32OZ-BLU,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 32 oz, Ocean Blue - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-32OZ,PF-BTL-32OZ-BLU,"The PeakFlow 32 oz Water Bottle in Ocean Blue keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 32 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR OCEAN BLUE FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-32oz-blue-main.jpg,,,,,https://images.example.com/peakflow/swatch-blue.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,29.99,34.99,150,AMAZON_NA,New,802944896049,UPC,water-bottle,A_GEN_TAX,Ocean Blue,Blue,32 oz,32 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,1.1,Pounds,11.8,3.4,3.4,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-32OZ-PIN,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 32 oz, Blush Pink - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-32OZ,PF-BTL-32OZ-PIN,"The PeakFlow 32 oz Water Bottle in Blush Pink keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 32 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR BLUSH PINK FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-32oz-pink-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-pink.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,,,150,AMAZON_NA,New,827694165286,UPC,water-bottle,A_GEN_TAX,Blush Pink,Pink,32 oz,32 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,1.1,Pounds,11.8,3.4,3.4,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-40OZ-BLA,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 40 oz, Matte Black - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-40OZ,PF-BTL-40OZ-BLA,"This bottle CURES dehydration instantly and has been clinically proven to be the single best water bottle on the market today. FDA APPROVED for medical hydration therapy use.","FDA APPROVED FOR MEDICAL HYDRATION THERAPY - CURES CHRONIC DEHYDRATION INSTANTLY","100% GUARANTEED TO OUTPERFORM HYDRO FLASK AND YETI OR YOUR MONEY BACK, NO QUESTIONS ASKED","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR MATTE BLACK FINISH: Powder-coated exterior resists scratches and stays sweat-free,#1 RATED BOTTLE IN THE WORLD - CLINICALLY PROVEN BEST CHOICE - BUY NOW WHILE SUPPLIES LAST!!!,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-40oz-black-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-black.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,34.99,39.99,150,AMAZON_NA,New,874076343578,UPC,water-bottle,A_GEN_TAX,Matte Black,Black,40 oz,40 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,1.3,Pounds,13.2,3.7,3.7,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-40OZ-BLU,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 40 oz, Ocean Blue - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-40OZ,PF-BTL-40OZ-BLU,"The PeakFlow 40 oz Water Bottle in Ocean Blue keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 40 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR OCEAN BLUE FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-40oz-blue-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-blue.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,34.99,39.99,150,AMAZON_NA,New,887709268750,UPC,water-bottle,A_GEN_TAX,Ocean Blue,Blue,40 oz,40 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,1.3,Pounds,13.2,3.7,3.7,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
PF-BTL-40OZ-PIN,PeakFlow,"PeakFlow Insulated Stainless Steel Water Bottle, 40 oz, Blush Pink - Vacuum Sealed, Leak-Proof Sports Bottle",PeakFlow Outdoor Co.,PF-BTL-40OZ,PF-BTL-40OZ-PIN,"The PeakFlow 40 oz Water Bottle in Blush Pink keeps drinks cold for 24 hours or hot for 12 using double-wall vacuum insulation. Made from dent- and rust-resistant 18/8 stainless steel with a powder-coated, sweat-free exterior. The leak-proof twist lid and wide mouth make it easy to fill, clean, and carry to the gym, office, or trail. Backed by a 1-year workmanship warranty.","24-HOUR COLD, 12-HOUR HOT: Double-wall vacuum insulation keeps your 40 oz fill at temperature all day","LEAK-PROOF ON THE GO: Secure twist lid stops spills in your gym bag, backpack, or car cupholder","DURABLE 18/8 STAINLESS STEEL: Won't dent, rust, or retain flavors, unlike plastic bottles",TRUE-TO-COLOR BLUSH PINK FINISH: Powder-coated exterior resists scratches and stays sweat-free,BACKED BY OUR 1-YEAR WARRANTY: Reach out anytime and our support team will make it right,hydro flask alternative gym bottle reusable canteen thermos travel mug metal water jug,gift for athletes hikers gym goers students,https://images.example.com/peakflow/bottle-40oz-pink-main.jpg,https://images.example.com/peakflow/bottle-lifestyle.jpg,https://images.example.com/peakflow/bottle-dimensions.jpg,https://images.example.com/peakflow/bottle-features.jpg,https://images.example.com/peakflow/bottle-colors.jpg,https://images.example.com/peakflow/swatch-pink.jpg,Child,PF-BTL-PARENT,Variation,SizeName-ColorName,34.99,39.99,150,AMAZON_NA,New,886883554442,UPC,water-bottle,A_GEN_TAX,Blush Pink,Pink,40 oz,40 oz,Stainless Steel,Classic,"1 Bottle, 1 Lid","Insulated, Leak Proof, BPA Free",1,1,China,1.3,Pounds,13.2,3.7,3.7,Inches,Unisex-Adult,1063498,Hand wash recommended; not microwave safe,Update
